"spotify_id,""name"",""artists"",""daily_rank"",""daily_movement"",""weekly_movement"",""country"",""snapshot_date"",""popularity"",""is_explicit"",""duration_ms"",""album_name"",""album_release_date"",""danceability"",""energy"",""key"",""loudness"",""mode"",""speechiness"",""acousticness"",""instrumentalness"",""liveness"",""valence"",""tempo"",""time_signature""";;
"7fzHQizxTqy8wTXwlrgPQQ,""MILLION DOLLAR BABY"",""Tommy Richman"",""1"",""0"",""6"","""",""2024-05-13"",""94"",""False"",""155151"",""MILLION DOLLAR BABY"",""2024-04-26"",""0.849"",""0.699"",""1"",""-5.106"",""0"",""0.0436"",""0.0982"",""0.000215"",""0.068"",""0.927"",""138.003"",""4""";;
"6AI3ezQ4o3HUoP6Dhudph3,""Not Like Us"",""Kendrick Lamar"",""2"",""0"",""0"","""",""2024-05-13"",""94"",""True"",""274192"",""Not Like Us"",""2024-05-04"",""0.898"",""0.472"",""1"",""-7.001"",""1"",""0.0776"",""0.0107"",""0.0"",""0.141"",""0.214"",""101.061"",""4""";;
"2qSkIjg1o9h3YT9RAgYN75,""Espresso"",""Sabrina Carpenter"",""3"",""1"",""-2"","""",""2024-05-13"",""99"",""True"",""175459"",""Espresso"",""2024-04-12"",""0.701"",""0.76"",""0"",""-5.478"",""1"",""0.0285"",""0.107"",""6.54e-05"",""0.185"",""0.69"",""103.969"",""4""";;
"7221xIgOnuakPdLqT0F3nP,""I Had Some Help (Feat. Morgan Wallen)"",""Post Malone, Morgan Wallen"",""4"",""-1"",""46"","""",""2024-05-13"",""86"",""True"",""178205"",""I Had Some Help"",""2024-05-10"",""0.638"",""0.855"",""7"",""-4.86"",""1"",""0.0264"",""0.00757"",""0.0"",""0.245"",""0.731"",""127.986"",""4""";;
"2GxrNKugF82CnoRFbQfzPf,""i like the way you kiss me"",""Artemas"",""5"",""3"",""-1"","""",""2024-05-13"",""100"",""False"",""142514"",""i like the way you kiss me"",""2024-03-19"",""0.599"",""0.946"",""11"",""-4.263"",""1"",""0.0447"",""0.000938"",""0.0106"",""0.0826"",""0.747"",""151.647"",""4""";;
"2OzhQlSqBEmt7hmkYxfT6m,""Fortnight (feat. Post Malone)"",""Taylor Swift, Post Malone"",""6"",""1"",""-1"","""",""2024-05-13"",""96"",""False"",""228965"",""THE TORTURED POETS DEPARTMENT"",""2024-04-18"",""0.504"",""0.386"",""11"",""-10.976"",""1"",""0.0308"",""0.502"",""1.53e-05"",""0.0961"",""0.281"",""192.004"",""4""";;
"6XjDF6nds4DE2BBbagZol6,""Gata Only"",""FloyyMenor, Cris Mj"",""7"",""-2"",""-1"","""",""2024-05-13"",""98"",""True"",""222000"",""Gata Only"",""2024-02-02"",""0.791"",""0.499"",""8"",""-8.472"",""0"",""0.0509"",""0.446"",""2.41e-05"",""0.0899"",""0.669"",""99.986"",""4""";;
"2FQrifJ1N335Ljm3TjTVVf,""A Bar Song (Tipsy)"",""Shaboozey"",""8"",""-2"",""2"","""",""2024-05-13"",""94"",""True"",""171291"",""A Bar Song (Tipsy)"",""2024-04-12"",""0.722"",""0.709"",""9"",""-4.95"",""1"",""0.0273"",""0.0633"",""0.0"",""0.0804"",""0.604"",""81.012"",""4""";;
"3xkHsmpQCBMytMJNiDf3Ii,""Beautiful Things"",""Benson Boone"",""9"",""0"",""0"","""",""2024-05-13"",""91"",""False"",""180304"",""Fireworks & Rollerblades"",""2024-04-05"",""0.472"",""0.471"",""10"",""-5.692"",""1"",""0.0603"",""0.151"",""0.0"",""0.14"",""0.219"",""105.029"",""3""";;
"5Z0UnEtpLDQyYlWwgi8m9C,""Too Sweet"",""Hozier"",""10"",""0"",""-2"","""",""2024-05-13"",""90"",""False"",""251424"",""Unreal Unearth: Unheard"",""2024-03-22"",""0.741"",""0.62"",""10"",""-5.505"",""1"",""0.0412"",""0.0295"",""0.000809"",""0.0398"",""0.934"",""117.038"",""4""";;
"51ZQ1vr10ffzbwIjDCwqm4,""we can't be friends (wait for your love)"",""Ariana Grande"",""11"",""0"",""1"","""",""2024-05-13"",""94"",""False"",""228639"",""eternal sunshine"",""2024-03-08"",""0.645"",""0.646"",""5"",""-8.334"",""1"",""0.0427"",""0.0615"",""3.04e-05"",""0.074"",""0.295"",""115.842"",""4""";;
"3qhlB30KknSejmIvZZLjOD,""End of Beginning"",""Djo"",""12"",""1"",""-1"","""",""2024-05-13"",""98"",""False"",""159245"",""DECIDE"",""2022-09-16"",""0.689"",""0.454"",""2"",""-7.643"",""1"",""0.0584"",""0.0351"",""0.00259"",""0.0707"",""0.912"",""159.982"",""4""";;
"77DRzu7ERs0TX3roZcre7Q,""euphoria"",""Kendrick Lamar"",""13"",""-1"",""-10"","""",""2024-05-13"",""93"",""True"",""383639"",""euphoria"",""2024-04-30"",""0.831"",""0.643"",""1"",""-5.002"",""1"",""0.11"",""0.046"",""0.0"",""0.084"",""0.142"",""139.948"",""4""";;
"4q5YezDOIPcoLr8R81x9qy,""I Can Do It With a Broken Heart"",""Taylor Swift"",""14"",""0"",""0"","""",""2024-05-13"",""90"",""True"",""218004"",""THE TORTURED POETS DEPARTMENT"",""2024-04-18"",""0.701"",""0.751"",""0"",""-8.39"",""1"",""0.0502"",""0.123"",""0.0"",""0.15"",""0.22"",""129.994"",""4""";;
"2tudvzsrR56uom6smgOcSf,""Like That"",""Future, Metro Boomin, Kendrick Lamar"",""15"",""1"",""0"","""",""2024-05-13"",""95"",""True"",""267706"",""WE DON'T TRUST YOU"",""2024-03-22"",""0.814"",""0.676"",""11"",""-4.67"",""0"",""0.231"",""0.00709"",""1.28e-05"",""0.119"",""0.312"",""162.012"",""4""";;
"17phhZDn6oGtzMe56NuWvj,""Lose Control"",""Teddy Swims"",""16"",""-1"",""0"","""",""2024-05-13"",""93"",""False"",""210688"",""I've Tried Everything But Therapy (Part 1)"",""2023-09-15"",""0.561"",""0.604"",""9"",""-4.409"",""1"",""0.0337"",""0.199"",""1.9e-05"",""0.104"",""0.242"",""159.92"",""3""";;
"1EjIXKhNHI00ZLMRpS8iz8,""The Code"",""Nemo"",""17"",""33"",""33"","""",""2024-05-13"",""74"",""False"",""180141"",""The Code"",""2024-02-29"",""0.542"",""0.77"",""5"",""-3.852"",""0"",""0.147"",""0.215"",""0.0"",""0.0893"",""0.489"",""159.818"",""4""";;
